goos: darwin
goarch: arm64
pkg: gol-wildfire/internal/bench
cpu: Apple M1
BenchmarkSnapshotEmpreinte/size=128-8         	   28130	     41010 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29174	     41055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28988	     41040 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29163	     42150 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28830	     41546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28894	     41244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29035	     41230 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29143	     41359 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29134	     42177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   27480	     41199 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2637514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2638494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2638767 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2640756 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2643765 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2644252 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2646190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10103581 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10103905 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10108575 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10109261 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10104449 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10107735 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10114292 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10104464 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10368188 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10105215 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10107082 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10103853 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10108645 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10114820 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10103999 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10110467 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10105009 ns/op	        72.64 %evites	       201.0 snapshots/op	    4293 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10108517 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10111176 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10138998 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10487414 ns/op	        72.64 %evites	       201.0 snapshots/op	    4539 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-8        	     100	  10385670 ns/op	        72.64 %evites	       201.0 snapshots/op	    4540 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      21	  52110883 ns/op	         0 %evites	       201.0 snapshots/op	   56471 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  52505121 ns/op	         0 %evites	       201.0 snapshots/op	   66884 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51810121 ns/op	         0 %evites	       201.0 snapshots/op	   66900 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51771591 ns/op	         0 %evites	       201.0 snapshots/op	   66892 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51857992 ns/op	         0 %evites	       201.0 snapshots/op	   66884 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51880623 ns/op	         0 %evites	       201.0 snapshots/op	   66892 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51695977 ns/op	         0 %evites	       201.0 snapshots/op	   66884 B/op	    1207 allocs/op
