goos: windows
goarch: amd64
pkg: gol-wildfire/internal/bench
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     152	   7906047 ns/op	     496 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     153	   7661838 ns/op	     495 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     156	   7705719 ns/op	     494 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     156	   7924387 ns/op	     494 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     141	   8220298 ns/op	     502 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     808	   1353372 ns/op	     485 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     868	   1374788 ns/op	     489 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     924	   1338632 ns/op	     491 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     906	   1392505 ns/op	     487 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     925	   1331609 ns/op	     488 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     906	   1293671 ns/op	     489 B/op	       7 allocs/op
PASS
ok  	gol-wildfire/internal/bench	151.484s
